"Year","Team","GP","W","L","Tie","Pts","GF","GA","PIM","Att.","Coach","Playoff","OTL","SOL"
1987,"Detroit Red Wings",80,34,36,10,78,260,274,2209,18755,"Jacques Demers","Lost in round 3",NA,NA
1987,"Chicago Blackhawks",80,29,37,14,72,290,310,1692,16853,"Bob Pulford","Lost in round 1",NA,NA
1987,"Minnesota North Stars",80,30,40,10,70,296,314,1936,13512,"Lorne Henning","Out of Playoffs",NA,NA
1987,"Toronto Maple Leafs",80,32,42,6,70,286,319,1827,16177,"John Brophy","Lost in round 2",NA,NA
1987,"Philadelphia Flyers",80,46,26,8,100,310,245,2082,17212,"Mike Keenan","Lost in Finals",NA,NA
1987,"Washington Capitals",80,38,32,10,86,285,278,1720,15289,"Bryan Murray","Lost in round 1",NA,NA
1987,"New York Islanders",80,35,33,12,82,279,281,1857,14859,"Terry Simpson","Lost in round 2",NA,NA
1987,"New York Rangers",80,34,38,8,76,307,323,1718,17152,"Sator, Webster, Esposito {+}","Lost in round 1",NA,NA
1987,"Pittsburgh Penguins",80,30,38,12,72,297,290,1693,14965,"Bob Berry","Out of Playoffs",NA,NA
1987,"New Jersey Devils",80,29,45,6,64,293,368,1735,11049,"Doug Carpenter","Out of Playoffs",NA,NA
1987,"Edmonton Oilers",80,50,24,6,106,372,284,1721,17297,"Glen Sather","Won Championship",NA,NA
1987,"Calgary Flames",80,46,31,3,95,318,289,2036,16798,"Bob Johnson","Lost in round 1",NA,NA
1987,"Winnipeg Jets",80,40,32,8,88,279,271,1537,13594,"Dan Maloney","Lost in round 2",NA,NA
1987,"Los Angeles Kings",80,31,41,8,70,318,341,2038,10644,"Quinn, Murphy {+}","Lost in round 1",NA,NA
1987,"Vancouver Canucks",80,29,43,8,66,282,314,1917,10406,"Tom Watt","Out of Playoffs",NA,NA
1988,"Montreal Canadiens",80,45,22,13,103,298,238,1830,17237,"Jean Perron","Lost in round 2",NA,NA
1988,"Boston Bruins",80,44,30,6,94,300,251,2443,13707,"Terry O'Reilly","Lost in Finals",NA,NA
1988,"Buffalo Sabres",80,37,32,11,85,283,305,2277,14277,"Ted Sator","Lost in round 1",NA,NA
1988,"Hartford Whalers",80,35,38,7,77,249,267,2046,14574,"Evans, Pleau {+}","Lost in round 1",NA,NA
1988,"Quebec Nordiques",80,32,43,5,69,271,306,2042,14943,"Savard, Lapointe {+}","Out of Playoffs",NA,NA
1988,"Detroit Red Wings",80,41,28,11,93,322,269,2391,19637,"Jacques Demers","Lost in round 3",NA,NA
1988,"St. Louis Blues",80,34,38,8,76,278,294,1919,14505,"Jacques Martin","Lost in round 2",NA,NA
1988,"Chicago Blackhawks",80,30,41,9,69,284,328,2228,16813,"Bob Murdoch","Lost in round 1",NA,NA
1988,"Toronto Maple Leafs",80,21,49,10,52,273,345,1782,16358,"John Brophy","Lost in round 1",NA,NA
1988,"Minnesota North Stars",80,19,48,13,51,242,349,2313,11440,"Herb Brooks","Out of Playoffs",NA,NA
1988,"New York Islanders",80,39,31,10,88,308,267,1732,14589,"Terry Simpson","Lost in round 1",NA,NA
1988,"Philadelphia Flyers",80,38,33,9,85,292,292,2194,17405,"Mike Keenan","Lost in round 1",NA,NA
1988,"Washington Capitals",80,38,33,9,85,281,249,1680,15955,"Bryan Murray","Lost in round 2",NA,NA
1988,"New York Rangers",80,36,34,10,82,300,283,1775,17174,"Michel Bergeron","Out of Playoffs",NA,NA
1988,"New Jersey Devils",80,38,36,6,82,295,296,2315,13402,"Carpenter, Schoenfeld {+}","Lost in round 3",NA,NA
1988,"Pittsburgh Penguins",80,36,35,9,81,319,316,2211,15166,"Pierre Creamer","Out of Playoffs",NA,NA
1988,"Calgary Flames",80,48,23,9,105,397,305,2431,18881,"Terry Crisp","Lost in round 2",NA,NA
1988,"Edmonton Oilers",80,44,25,11,99,363,288,2173,16957,"Glen Sather","Won Championship",NA,NA
1988,"Winnipeg Jets",80,33,36,11,77,292,310,2278,12681,"Dan Maloney","Lost in round 1",NA,NA
1988,"Los Angeles Kings",80,30,42,8,68,318,359,2124,11667,"Murphy, Ftorek {+}","Lost in round 1",NA,NA
1988,"Vancouver Canucks",80,25,46,9,59,272,320,2196,11002,"Bob McCammon","Out of Playoffs",NA,NA
1989,"Montreal Canadiens",80,53,18,9,115,315,218,1537,18437,"Pat Burns","Lost in Finals",NA,NA
1989,"Boston Bruins",80,37,29,14,88,289,256,1929,14093,"Terry O'Reilly","Lost in round 2",NA,NA
1989,"Buffalo Sabres",80,38,35,7,83,291,299,2034,14316,"Ted Sator","Lost in round 1",NA,NA
1989,"Hartford Whalers",80,37,38,5,79,299,290,1672,13821,"Larry Pleau","Lost in round 1",NA,NA
1989,"Quebec Nordiques",80,27,46,7,61,269,342,2004,14545,"Lapointe, Perron {+}","Out of Playoffs",NA,NA
1989,"Detroit Red Wings",80,34,34,12,80,313,316,2245,19703,"Jacques Demers","Lost in round 1",NA,NA
1989,"St. Louis Blues",80,33,35,12,78,275,285,1675,15138,"Brian Sutter","Lost in round 2",NA,NA
1989,"Minnesota North Stars",80,27,37,16,70,258,278,1972,9795,"Pierre Page","Lost in round 1",NA,NA
1989,"Chicago Blackhawks",80,27,41,12,66,297,335,2496,NA,"Mike Keenan","Lost in round 3",NA,NA
1989,"Toronto Maple Leafs",80,28,46,6,62,259,342,1740,16100,"Brophy, Armstrong {+}","Out of Playoffs",NA,NA
1989,"Washington Capitals",80,41,29,10,92,305,259,1836,17013,"Bryan Murray","Lost in round 1",NA,NA
1989,"Pittsburgh Penguins",80,40,33,7,87,347,349,2670,15734,"Gene Ubriaco","Lost in round 2",NA,NA
1989,"New York Rangers",80,37,35,8,82,310,307,1891,17412,"Bergeron, Esposito {+}","Lost in round 1",NA,NA
1989,"Philadelphia Flyers",80,36,36,8,80,307,285,2317,17405,"Paul Holmgren","Lost in round 3",NA,NA
1989,"New Jersey Devils",80,27,41,12,66,281,325,2499,NA,"Jim Schoenfeld","Out of Playoffs",NA,NA
1989,"New York Islanders",80,28,47,5,61,265,325,1822,13925,"Simpson, Arbour {+}","Out of Playoffs",NA,NA
1989,"Calgary Flames",80,54,17,9,117,354,226,2444,19458,"Terry Crisp","Won Championship",NA,NA
1989,"Los Angeles Kings",80,42,31,7,91,376,335,2215,14875,"Robbie Ftorek","Lost in round 2",NA,NA
1989,"Edmonton Oilers",80,38,34,8,84,325,306,1931,16845,"Glen Sather","Lost in round 1",NA,NA
1989,"Vancouver Canucks",80,33,39,8,74,251,253,1569,13772,"Bob McCammon","Lost in round 1",NA,NA
1989,"Winnipeg Jets",80,26,42,12,64,300,355,1843,12816,"Maloney, Bowness {+}","Out of Playoffs",NA,NA
1990,"Boston Bruins",80,46,25,9,101,289,232,1458,14314,"Mike Milbury","Lost in Finals",NA,NA
1990,"Buffalo Sabres",80,45,27,8,98,286,248,1449,15867,"Rick Dudley","Lost in round 1",NA,NA
1990,"Montreal Canadiens",80,41,28,11,93,288,234,1590,17117,"Pat Burns","Lost in round 2",NA,NA
1990,"Hartford Whalers",80,38,33,9,85,275,268,2102,13705,"Rick Ley","Lost in round 1",NA,NA
1990,"Quebec Nordiques",80,12,61,7,31,240,407,2104,15080,"Michel Bergeron","Out of Playoffs",NA,NA
1990,"Chicago Blackhawks",80,41,33,6,88,316,294,2426,17546,"Mike Keenan","Lost in round 3",NA,NA
1990,"St. Louis Blues",80,37,34,9,83,295,279,1809,15813,"Brian Sutter","Lost in round 2",NA,NA
1990,"Toronto Maple Leafs",80,38,38,4,80,337,358,2419,16197,"Doug Carpenter","Lost in round 1",NA,NA
1990,"Minnesota North Stars",80,36,40,4,76,284,291,2041,11354,"Pierre Page","Lost in round 1",NA,NA
1990,"Detroit Red Wings",80,28,38,14,70,288,323,2140,19531,"Jacques Demers","Out of Playoffs",NA,NA
1990,"New York Rangers",80,36,31,13,85,279,267,2021,16238,"Roger Neilson","Lost in round 2",NA,NA
1990,"New Jersey Devils",80,37,34,9,83,295,288,1659,14505,"Schoenfeld, Cunniff {+}","Lost in round 1",NA,NA
1990,"Washington Capitals",80,36,38,6,78,284,275,2204,17251,"Murray, Murray {+}","Lost in round 3",NA,NA
1990,"New York Islanders",80,31,38,11,73,281,288,1777,12710,"Al Arbour","Lost in round 1",NA,NA
1990,"Pittsburgh Penguins",80,32,40,8,72,318,359,2132,16018,"Ubriaco, Patrick {+}","Out of Playoffs",NA,NA
1990,"Philadelphia Flyers",80,30,39,11,71,290,297,2067,17407,"Paul Holmgren","Out of Playoffs",NA,NA
1990,"Calgary Flames",80,42,23,15,99,348,265,1751,19861,"Terry Crisp","Lost in round 1",NA,NA
1990,"Edmonton Oilers",80,38,28,14,90,315,283,2046,17008,"John Muckler","Won Championship",NA,NA
1990,"Winnipeg Jets",80,37,32,11,85,298,290,1639,13106,"Bob Murdoch","Lost in round 1",NA,NA
1990,"Los Angeles Kings",80,34,39,7,75,338,337,1844,15707,"Tom Webster","Lost in round 2",NA,NA
1990,"Vancouver Canucks",80,25,41,14,64,245,306,1644,15417,"Bob McCammon","Out of Playoffs",NA,NA
1991,"Boston Bruins",80,44,24,12,100,299,264,1694,14340,"Mike Milbury","Lost in round 3",NA,NA
1991,"Montreal Canadiens",80,39,30,11,89,273,249,1425,17000,"Pat Burns","Lost in round 2",NA,NA
1991,"Buffalo Sabres",80,31,30,19,81,292,278,1733,15654,"Rick Dudley","Lost in round 1",NA,NA
1991,"Hartford Whalers",80,31,38,11,73,238,276,2209,12404,"Rick Ley","Lost in round 1",NA,NA
1991,"Quebec Nordiques",80,16,50,14,46,236,354,1741,14188,"Dave Chambers","Out of Playoffs",NA,NA
1991,"Chicago Blackhawks",80,49,23,8,106,284,211,2412,17920,"Mike Keenan","Lost in round 1",NA,NA
1991,"St. Louis Blues",80,47,22,11,105,310,250,1987,17157,"Brian Sutter","Lost in round 2",NA,NA
1991,"Detroit Red Wings",80,34,38,8,76,273,298,1940,19664,"Bryan Murray","Lost in round 1",NA,NA
1991,"Minnesota North Stars",80,27,39,14,68,256,266,1964,7838,"Bob Gainey","Lost in Finals",NA,NA
1991,"Toronto Maple Leafs",80,23,46,11,57,241,318,1962,16254,"Carpenter, Watt {+}","Out of Playoffs",NA,NA
1991,"Pittsburgh Penguins",80,41,33,6,88,342,305,1641,15927,"Bob Johnson","Won Championship",NA,NA
1991,"New York Rangers",80,36,31,13,85,297,265,1893,15889,"Roger Neilson","Lost in round 1",NA,NA
1991,"Washington Capitals",80,37,36,7,81,258,258,1839,16608,"Terry Murray","Lost in round 2",NA,NA
1991,"New Jersey Devils",80,32,33,15,79,272,264,2024,13148,"Cunniff, McVie {+}","Lost in round 1",NA,NA
1991,"Philadelphia Flyers",80,33,37,10,76,252,267,1945,17342,"Paul Holmgren","Out of Playoffs",NA,NA
1991,"New York Islanders",80,25,45,10,60,223,290,1723,10462,"Al Arbour","Out of Playoffs",NA,NA
1991,"Los Angeles Kings",80,46,24,10,102,340,254,2228,15674,"Tom Webster","Lost in round 2",NA,NA
1991,"Calgary Flames",80,46,26,8,100,344,263,2197,19986,"Doug Risebrough","Lost in round 1",NA,NA
1991,"Edmonton Oilers",80,37,37,6,80,272,272,1823,16843,"John Muckler","Lost in round 3",NA,NA
1991,"Vancouver Canucks",80,28,43,9,65,243,315,2063,15150,"McCammon, Quinn {+}","Lost in round 1",NA,NA
1991,"Winnipeg Jets",80,26,43,11,63,260,288,1675,12931,"Bob Murdoch","Out of Playoffs",NA,NA
1992,"Montreal Canadiens",80,41,28,11,93,267,207,1556,17005,"Pat Burns","Lost in round 2",NA,NA
1992,"Boston Bruins",80,36,32,12,84,270,275,1752,14274,"Rick Bowness","Lost in round 3",NA,NA
1992,"Buffalo Sabres",80,31,37,12,74,289,299,2713,15392,"Dudley, Muckler {+}","Lost in round 1",NA,NA
1992,"Hartford Whalers",80,26,41,13,65,247,283,1793,10896,"Jim Roberts","Lost in round 1",NA,NA
1992,"Quebec Nordiques",80,20,48,12,52,255,318,2044,13666,"Chambers, Page {+}","Out of Playoffs",NA,NA
1992,"Detroit Red Wings",80,43,25,12,98,320,256,2078,19723,"Bryan Murray","Lost in round 2",NA,NA
1992,"Chicago Blackhawks",80,36,29,15,87,257,236,2663,17509,"Mike Keenan","Lost in Finals",NA,NA
1992,"St. Louis Blues",80,36,33,11,83,279,266,2041,17518,"Brian Sutter","Lost in round 1",NA,NA
1992,"Minnesota North Stars",80,32,42,6,70,246,278,2169,13447,"Bob Gainey","Lost in round 1",NA,NA
1992,"Toronto Maple Leafs",80,30,43,7,67,234,294,1734,15586,"Tom Watt","Out of Playoffs",NA,NA
1992,"New York Rangers",80,50,25,5,105,321,246,1805,16904,"Roger Neilson","Lost in round 2",NA,NA
1992,"Washington Capitals",80,45,27,8,98,330,275,1777,16590,"Terry Murray","Lost in round 1",NA,NA
1992,"New Jersey Devils",80,38,31,11,87,289,259,1611,12837,"Tom McVie","Lost in round 1",NA,NA
1992,"Pittsburgh Penguins",80,39,32,9,87,343,308,1907,15993,"William ""Scotty"" Bowman","Won Championship",NA,NA
1992,"New York Islanders",80,34,35,11,79,291,299,1713,10039,"Al Arbour","Out of Playoffs",NA,NA
1992,"Philadelphia Flyers",80,32,37,11,75,252,273,1838,17140,"Holmgren, Dineen {+}","Out of Playoffs",NA,NA
1992,"Vancouver Canucks",80,42,26,12,96,285,250,2075,15768,"Pat Quinn","Lost in round 2",NA,NA
1992,"Los Angeles Kings",80,35,31,14,84,287,296,2161,16005,"Tom Webster","Lost in round 1",NA,NA
1992,"Edmonton Oilers",80,36,34,10,82,295,297,1907,16179,"Ted Green","Lost in round 3",NA,NA
1992,"Winnipeg Jets",80,33,32,15,81,251,244,1907,12931,"John Paddock","Lost in round 1",NA,NA
1992,"Calgary Flames",80,31,37,12,74,296,305,2643,19719,"Risebrough, Charron {+}","Out of Playoffs",NA,NA
1992,"San Jose Sharks",80,17,58,5,39,219,359,1894,10888,"George Kingston","Out of Playoffs",NA,NA
1993,"Boston Bruins",84,51,26,7,109,332,268,1552,14233,"Brian Sutter","Lost in round 1",NA,NA
1993,"Quebec Nordiques",84,47,27,10,104,351,300,1846,14981,"Pierre Page","Lost in round 1",NA,NA
1993,"Montreal Canadiens",84,48,30,6,102,326,280,1788,17018,"Jacques Demers","Won Championship",NA,NA
1993,"Buffalo Sabres",84,38,36,10,86,335,297,1873,14981,"John Muckler","Lost in round 2",NA,NA
1993,"Hartford Whalers",84,26,52,6,58,284,369,2354,10144,"Paul Holmgren","Out of Playoffs",NA,NA
1993,"Ottawa Senators",84,10,70,4,24,202,395,1716,10485,"Rick Bowness","Out of Playoffs",NA,NA
1993,"Chicago Blackhawks",84,47,25,12,106,279,230,2394,17776,"Darryl Sutter","Lost in round 1",NA,NA
1993,"Detroit Red Wings",84,47,28,9,103,369,280,1832,19707,"Bryan Murray","Lost in round 1",NA,NA
1993,"Toronto Maple Leafs",84,44,29,11,99,288,241,1815,15676,"Pat Burns","Lost in round 3",NA,NA
1993,"St. Louis Blues",84,37,36,11,85,282,278,1889,16737,"Plager, Berry {+}","Lost in round 2",NA,NA
1993,"Minnesota North Stars",84,36,38,10,82,272,293,1885,13910,"Bob Gainey","Out of Playoffs",NA,NA
1993,"Tampa Bay Lightning",84,23,54,7,53,245,332,1625,10014,"Terry Crisp","Out of Playoffs",NA,NA
1993,"Pittsburgh Penguins",84,56,21,7,119,367,268,1776,16105,"William ""Scotty"" Bowman","Lost in round 2",NA,NA
1993,"Washington Capitals",84,43,34,7,93,325,286,1709,15540,"Terry Murray","Lost in round 1",NA,NA
1993,"New Jersey Devils",84,40,37,7,87,308,299,1815,13658,"Herb Brooks","Lost in round 1",NA,NA
1993,"New York Islanders",84,40,37,7,87,335,297,1701,12036,"Al Arbour","Lost in round 3",NA,NA
1993,"Philadelphia Flyers",84,36,37,11,83,319,319,1887,17281,"Bill Dineen","Out of Playoffs",NA,NA
1993,"New York Rangers",84,34,39,11,79,304,308,1657,17585,"Neilson, Smith {+}","Out of Playoffs",NA,NA
1993,"Vancouver Canucks",84,46,29,9,101,346,278,2326,15418,"Pat Quinn","Lost in round 2",NA,NA
1993,"Calgary Flames",84,43,30,11,97,322,282,1951,19529,"Dave King","Lost in round 1",NA,NA
1993,"Los Angeles Kings",84,39,35,10,88,338,340,2247,15833,"Barry Melrose","Lost in Finals",NA,NA
1993,"Winnipeg Jets",84,40,37,7,87,322,320,1851,13550,"John Paddock","Lost in round 1",NA,NA
1993,"Edmonton Oilers",84,26,50,8,60,242,337,2027,14797,"Ted Green","Out of Playoffs",NA,NA
1993,"San Jose Sharks",84,11,71,2,24,218,414,2134,11045,"George Kingston","Out of Playoffs",NA,NA
1994,"New York Rangers",84,52,24,8,112,299,231,1688,17761,"Mike Keenan","Won Championship",NA,NA
1994,"New Jersey Devils",84,47,25,12,106,306,220,1734,14585,"Jacques Lemaire","Lost in round 3",NA,NA
1994,"Washington Capitals",84,39,35,10,88,277,263,2007,14527,"Murray, Schoenfeld {+}","Lost in round 2",NA,NA
1994,"New York Islanders",84,36,36,12,84,282,264,1787,12091,"Al Arbour","Lost in round 1",NA,NA
1994,"Florida Panthers",84,33,34,17,83,233,233,1620,14190,"Roger Neilson","Out of Playoffs",NA,NA
1994,"Philadelphia Flyers",84,35,39,10,80,294,314,1697,17020,"Terry Simpson","Out of Playoffs",NA,NA
1994,"Tampa Bay Lightning",84,30,43,11,71,224,251,1579,19398,"Terry Crisp","Out of Playoffs",NA,NA
1994,"Detroit Red Wings",84,46,30,8,100,356,275,1775,19625,"William ""Scotty"" Bowman","Lost in round 1",NA,NA
1994,"Toronto Maple Leafs",84,43,29,12,98,280,243,1877,15764,"Pat Burns","Lost in round 3",NA,NA
1994,"Dallas Stars",84,42,29,13,97,286,265,1919,16070,"Bob Gainey","Lost in round 2",NA,NA
1994,"St. Louis Blues",84,40,33,11,91,270,283,1659,17313,"Bob Berry","Lost in round 1",NA,NA
1994,"Chicago Blackhawks",84,39,36,9,87,254,240,2125,17683,"Darryl Sutter","Lost in round 1",NA,NA
1994,"Winnipeg Jets",84,24,51,9,57,245,344,2143,13130,"John Paddock","Out of Playoffs",NA,NA
1994,"Pittsburgh Penguins",84,44,27,13,101,299,285,1624,16741,"Ed Johnston","Lost in round 1",NA,NA
1994,"Boston Bruins",84,42,29,13,97,289,252,1442,13998,"Brian Sutter","Lost in round 2",NA,NA
1994,"Montreal Canadiens",84,41,29,14,96,283,248,1524,16979,"Jacques Demers","Lost in round 1",NA,NA
1994,"Buffalo Sabres",84,43,32,9,95,282,218,1760,14602,"John Muckler","Lost in round 1",NA,NA
1994,"Quebec Nordiques",84,34,42,8,76,277,292,1625,14564,"Pierre Page","Out of Playoffs",NA,NA
1994,"Hartford Whalers",84,27,48,9,63,227,288,1809,10407,"Holmgren, McGuire {+}","Out of Playoffs",NA,NA
1994,"Ottawa Senators",84,14,61,9,37,201,397,1710,10300,"Rick Bowness","Out of Playoffs",NA,NA
1994,"Calgary Flames",84,42,29,13,97,302,256,1847,19214,"Dave King","Lost in round 1",NA,NA
1994,"Vancouver Canucks",84,41,40,3,85,279,276,1923,15140,"Pat Quinn","Lost in Finals",NA,NA
1994,"San Jose Sharks",84,33,35,16,82,252,265,1343,16537,"Kevin Constantine","Lost in round 2",NA,NA
1994,"Anaheim Mighty Ducks",84,33,46,5,71,229,251,1507,16728,"Ron Wilson","Out of Playoffs",NA,NA
1994,"Los Angeles Kings",84,27,45,12,66,294,322,2017,15529,"Barry Melrose","Out of Playoffs",NA,NA
1994,"Edmonton Oilers",84,25,45,14,64,261,305,1858,13413,"Green, Sather {+}","Out of Playoffs",NA,NA
1995,"Philadelphia Flyers",48,28,16,4,60,150,132,741,17160,"Terry Murray","Lost in round 3",NA,NA
1995,"New Jersey Devils",48,22,18,8,52,136,121,787,16379,"Jacques Lemaire","Won Championship",NA,NA
1995,"Washington Capitals",48,22,18,8,52,136,120,1144,14158,"Jim Schoenfeld","Lost in round 1",NA,NA
1995,"New York Rangers",48,22,23,3,47,139,134,781,18200,"Colin Campbell","Lost in round 2",NA,NA
1995,"Florida Panthers",48,20,22,6,46,115,127,770,14192,"Roger Neilson","Out of Playoffs",NA,NA
1995,"Tampa Bay Lightning",48,17,28,3,37,120,144,1040,19932,"Terry Crisp","Out of Playoffs",NA,NA
1995,"New York Islanders",48,15,28,5,35,126,158,901,12573,"Lorne Henning","Out of Playoffs",NA,NA
1995,"Detroit Red Wings",48,33,11,4,70,180,117,932,19779,"William ""Scotty"" Bowman","Lost in Finals",NA,NA
1995,"St. Louis Blues",48,28,15,5,61,178,135,1077,19469,"Mike Keenan","Lost in round 1",NA,NA
1995,"Chicago Blackhawks",48,24,19,5,53,156,115,1123,20832,"Darryl Sutter","Lost in round 3",NA,NA
1995,"Toronto Maple Leafs",48,21,19,8,50,135,146,744,15744,"Pat Burns","Lost in round 1",NA,NA
1995,"Dallas Stars",48,17,23,8,42,136,135,1117,16729,"Bob Gainey","Lost in round 1",NA,NA
1995,"Winnipeg Jets",48,16,25,7,39,157,177,1141,13012,"Paddock, Simpson {+}","Out of Playoffs",NA,NA
1995,"Quebec Nordiques",48,30,13,5,65,185,134,770,14397,"Marc Crawford","Lost in round 1",NA,NA
1995,"Pittsburgh Penguins",48,29,16,3,61,181,158,1036,16108,"Ed Johnston","Lost in round 2",NA,NA
1995,"Boston Bruins",48,27,18,3,57,150,127,793,14300,"Brian Sutter","Lost in round 1",NA,NA
1995,"Buffalo Sabres",48,22,19,7,51,130,119,1022,15052,"John Muckler","Lost in round 1",NA,NA
1995,"Montreal Canadiens",48,18,23,7,43,125,148,840,16964,"Jacques Demers","Out of Playoffs",NA,NA
1995,"Hartford Whalers",48,19,24,5,43,127,141,915,11835,"Paul Holmgren","Out of Playoffs",NA,NA
1995,"Ottawa Senators",48,9,34,5,23,117,174,749,9879,"Rick Bowness","Out of Playoffs",NA,NA
1995,"Calgary Flames",48,24,17,7,55,163,135,1249,19035,"Dave King","Lost in round 1",NA,NA
1995,"Vancouver Canucks",48,18,18,12,48,153,148,1093,13920,"Rick Ley","Lost in round 2",NA,NA
1995,"San Jose Sharks",48,19,25,4,42,129,161,840,17190,"Kevin Constantine","Lost in round 2",NA,NA
1995,"Los Angeles Kings",48,16,23,9,41,142,174,978,15397,"Melrose, Vachon {+}","Out of Playoffs",NA,NA
1995,"Edmonton Oilers",48,17,27,4,38,136,183,1183,13123,"Burnett, Low {+}","Out of Playoffs",NA,NA
1995,"Anaheim Mighty Ducks",48,16,27,5,37,125,164,731,17174,"Ron Wilson","Out of Playoffs",NA,NA
1996,"Philadelphia Flyers",82,45,24,13,107,282,208,1785,17344,"Terry Murray","Lost in round 2",NA,NA
1996,"New York Rangers",82,41,27,14,96,272,237,1849,18200,"Colin Campbell","Lost in round 2",NA,NA
1996,"Florida Panthers",82,41,31,10,92,254,234,1494,13278,"Doug MacLean","Lost in Finals",NA,NA
1996,"Washington Capitals",82,39,32,11,89,234,204,1553,15155,"Jim Schoenfeld","Lost in round 1",NA,NA
1996,"Tampa Bay Lightning",82,38,32,12,88,238,248,1628,18880,"Terry Crisp","Lost in round 1",NA,NA
1996,"New Jersey Devils",82,37,33,12,86,215,202,1486,16219,"Jacques Lemaire","Out of Playoffs",NA,NA
1996,"New York Islanders",82,22,50,10,54,229,315,1669,11355,"Mike Milbury","Out of Playoffs",NA,NA
1996,"Detroit Red Wings",82,62,13,7,131,325,181,1551,19923,"William ""Scotty"" Bowman","Lost in round 3",NA,NA
1996,"Chicago Blackhawks",82,40,28,14,94,273,220,1880,20390,"Craig Hartsburg","Lost in round 2",NA,NA
1996,"St. Louis Blues",82,32,34,16,80,219,248,1823,18805,"Mike Keenan","Lost in round 2",NA,NA
1996,"Toronto Maple Leafs",82,34,36,12,80,247,252,1742,15729,"Burns, Beverley {+}","Lost in round 1",NA,NA
1996,"Winnipeg Jets",82,36,40,6,78,275,291,1622,11316,"Terry Simpson","Lost in round 1",NA,NA
1996,"Dallas Stars",82,26,42,14,66,227,280,1652,15572,"Gainey, Hitchcock {+}","Out of Playoffs",NA,NA
1996,"Pittsburgh Penguins",82,49,29,4,102,362,284,1623,16238,"Ed Johnston","Lost in round 3",NA,NA
1996,"Boston Bruins",82,40,31,11,91,282,269,1039,17474,"Steve Kasper","Lost in round 1",NA,NA
1996,"Montreal Canadiens",82,40,32,10,90,265,248,1847,18233,"Demers, Laperriere, Tremblay {+}","Lost in round 1",NA,NA
1996,"Hartford Whalers",82,34,39,9,77,237,259,1844,11983,"Holmgren, Maurice {+}","Out of Playoffs",NA,NA
1996,"Buffalo Sabres",82,33,42,7,73,247,262,2195,13738,"Ted Nolan","Out of Playoffs",NA,NA
1996,"Ottawa Senators",82,18,59,5,41,191,291,1553,13252,"Bowness, Allison, Martin {+}","Out of Playoffs",NA,NA
1996,"Colorado Avalanche",82,47,25,10,104,326,240,1536,16017,"Marc Crawford","Won Championship",NA,NA
1996,"Vancouver Canucks",82,32,35,15,79,278,278,1546,17796,"Ley, Quinn {+}","Lost in round 1",NA,NA
1996,"Calgary Flames",82,34,37,11,79,241,240,1524,17999,"Pierre Page","Lost in round 1",NA,NA
1996,"Anaheim Mighty Ducks",82,35,39,8,78,234,247,1707,17154,"Ron Wilson","Out of Playoffs",NA,NA
1996,"Edmonton Oilers",82,30,44,8,68,240,304,1709,12335,"Ron Low","Out of Playoffs",NA,NA
1996,"Los Angeles Kings",82,24,40,18,66,256,302,1460,13551,"Larry Robinson","Out of Playoffs",NA,NA
1996,"San Jose Sharks",82,20,55,7,47,252,357,1480,17190,"Constantine, Wiley {+}","Out of Playoffs",NA,NA
1997,"New Jersey Devils",82,45,23,14,104,231,182,1135,16398,"Jacques Lemaire","Lost in round 2",NA,NA
1997,"Philadelphia Flyers",82,45,24,13,103,274,217,1699,19311,"Terry Murray","Lost in Finals",NA,NA
1997,"Florida Panthers",82,35,28,19,89,221,201,1628,14703,"Doug MacLean","Lost in round 1",NA,NA
1997,"New York Rangers",82,38,34,10,86,258,231,1481,18188,"Colin Campbell","Lost in round 3",NA,NA
1997,"Washington Capitals",82,33,40,9,75,214,231,1652,15761,"Jim Schoenfeld","Out of Playoffs",NA,NA
1997,"Tampa Bay Lightning",82,32,40,10,74,217,247,1686,17442,"Terry Crisp","Out of Playoffs",NA,NA
1997,"New York Islanders",82,29,41,12,70,240,250,1640,12494,"Milbury, Bowness {+}","Out of Playoffs",NA,NA
1997,"Dallas Stars",82,48,26,8,104,252,198,1325,15997,"Ken Hitchcock","Lost in round 1",NA,NA
1997,"Detroit Red Wings",82,38,26,18,94,253,197,1582,19978,"William ""Scotty"" Bowman","Won Championship",NA,NA
1997,"St. Louis Blues",82,36,35,11,83,236,239,1336,16806,"Keenan, Roberts, Quenneville {+}","Lost in round 1",NA,NA
1997,"Phoenix Coyotes",82,38,37,7,83,240,243,1582,15585,"Don Hay","Lost in round 1",NA,NA
1997,"Chicago Blackhawks",82,34,35,13,81,223,210,1763,19396,"Craig Hartsburg","Lost in round 1",NA,NA
1997,"Toronto Maple Leafs",82,30,44,8,68,230,273,1331,15703,"Mike Murphy","Out of Playoffs",NA,NA
1997,"Buffalo Sabres",82,40,30,12,92,237,208,1840,16911,"Ted Nolan","Lost in round 2",NA,NA
1997,"Pittsburgh Penguins",82,38,36,8,84,285,280,1498,16691,"Johnston, Patrick {+}","Lost in round 1",NA,NA
1997,"Montreal Canadiens",82,31,36,15,77,249,276,1469,21001,"Mario Tremblay","Lost in round 1",NA,NA
1997,"Ottawa Senators",82,31,36,15,77,226,234,1087,15377,"Jacques Martin","Lost in round 1",NA,NA
1997,"Hartford Whalers",82,32,39,11,75,226,256,1513,13680,"Paul Maurice","Out of Playoffs",NA,NA
